Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20150313X75813 | Accident | ANC15LA015 | 03/13/2015 | Anchorage, AK | United States | 61.228611 | -150.870834 |  | N/A | Non-Fatal | Substantial | Helicopter | N814EH | AIRBUS | AS350 B2 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | ERICKSON HELICOPTERS |  |  |  | 3 | VMC |  | Factual <br />02/03/2016<br/>Final <br />04/04/2016 | 04/04/2016 | 
20150318X45522 | Accident | WPR15CA128 | 03/13/2015 | Shelby, MT | United States | 48.448889 | -111.971945 |  | N/A | Non-Fatal | Substantial | Helicopter | N5688N | ENSTROM | F28 - C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />04/15/2015<br/>Final <br />04/21/2015 | 04/21/2015 | 
20150313X72113 | Accident | CEN15FA171 | 03/12/2015 | Eufaula, OK | United States | 35.366667 | -95.800000 |  | N/A | Fatal(1) | Destroyed | Helicopter | N919EM | EUROCOPTER | AS 350 B2 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | EAGLEMED LLC (DBA: EAGLEMED LLC) | 1 | 2 |  |  | UNK |  | Factual <br />04/25/2017<br/>Final <br />05/23/2017 | 05/23/2017 | 
20150311X02544 | Accident | ANC15CA012 | 03/10/2015 | Palmer, AK | United States | 61.410000 | -148.546944 |  | N/A | Non-Fatal | Substantial | Helicopter | N86TA | BELL | 206B | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />06/23/2015<br/>Final <br />07/08/2015 | 07/08/2015 | 
20150308X10201 | Accident | CEN15FA164 | 03/06/2015 | St Louis, MO | United States | 38.622223 | -90.233611 | MO55 | St Louis University Hospital H | Fatal(1) | Destroyed | Helicopter | N356AM | Airbus Helicopters (Eurocopte | EC-130-B4 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Positioning |  | 1 |  |  |  | VMC | APPROACH | Factual <br />06/27/2016<br/>Final <br />03/16/2017 | 03/16/2017 | 
20150309X04646 | Accident | GAA15CA002 | 03/05/2015 | Justin, TX | United States | 33.049444 | -97.292777 | KAFW | Fort Worth Alliance Airport | Non-Fatal | Substantial | Helicopter | N41BH | BELL | 407 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC |  | Factual <br />05/18/2015<br/>Final <br />10/19/2015 | 10/19/2015 | 
20150303X01545 | Accident | WPR15CA119 | 03/03/2015 | San Bernardino, CA | United States | 34.095277 | -117.235000 | SBD | SAN BERNARDINO INTL | Non-Fatal | Substantial | Helicopter | N4003S | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC | LANDING | Factual <br />06/09/2015<br/>Final <br />07/08/2015 | 07/08/2015 | 
20150227X62134 | Accident | WPR15LA116 | 02/27/2015 | Ivanhoe, CA | United States | 36.459444 | -119.190833 |  | N/A | Non-Fatal | Substantial | Helicopter | N4774S | BELL | 47G 2A | No | 1 | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  | 1 |  |  | VMC | MANEUVERING | Factual <br />07/12/2017<br/>Final <br />09/06/2017 | 09/06/2017 | 
20150227X93828 | Accident | CEN15CA155 | 02/26/2015 | Plymouth, IN | United States | 41.365000 | -86.300278 |  | N/A | Non-Fatal | Substantial | Helicopter | N123XZ | GADDIS MICHAEL | EXEC 162 F | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Factual <br />08/28/2015<br/>Final <br />09/11/2015 | 09/11/2015 | 
20150225X31336 | Accident | CEN15LA156 | 02/20/2015 | Gulf of Mexico, GM | United States | 28.500000 | -91.300000 | HUM | HOUMA-TERREBONNE | Non-Fatal | Substantial | Helicopter | N802SM | AGUSTA AEROSPACE CORP | AW119 MKII | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | ERA HELICOPTERS LLC |  |  |  | 2 | VMC |  | Factual <br />09/01/2016<br/>Final <br />11/29/2016 | 11/29/2016 | 
20150220X74821 | Accident | WPR15LA109 | 02/19/2015 | Shelton, WA | United States | 47.129445 | -123.231111 |  | N/A | Non-Fatal | Substantial | Helicopter | N166DR | BELL/GARLICK | UH 1H | No | 1 | Turbo Shaft | Part 137: Agricultural |  | External Load |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />12/28/2017<br/>Final <br />03/05/2018 | 03/05/2018 | 
20150220X45640 | Accident | WPR15WA108 | 02/19/2015 | Queenstown, New Zealand, New Zealand | New Zealand | -45.202222 | 168.575000 |  |  | Fatal(2) | Substantial | Helicopter |  | ROBINSON | R44 II | No | 1 | Reciprocating |  |  |  |  | 2 |  |  |  |  | MANEUVERING | Foreign |  | 
20150226X64850 | Accident | ERA15LA138 | 02/15/2015 | Sevierville, TN | United States | 35.895555 | -83.578611 | 6TN3 | SIXTY SIX | Non-Fatal | Substantial | Helicopter | N3176L | BELL | 206 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Aerial Observation |  |  |  |  | 6 | VMC | TAKEOFF | Factual <br />10/18/2017<br/>Final <br />11/06/2017 | 11/06/2017 | 
20150225X45502 | Accident | CEN15CA153 | 02/15/2015 | Asherton, TX | United States | 28.559444 | -99.410000 |  | N/A | Non-Fatal | Substantial | Helicopter | N7181S | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Other Work Use |  |  |  | 1 |  | VMC | MANEUVERING | Factual <br />05/06/2015<br/>Final <br />05/13/2015 | 05/13/2015 | 
20150309X14354 | Accident | WPR15WA124 | 02/15/2015 | Wabo, Papua New Guinea, Papua New Guinea | Papua New Guinea |  |  |  |  | Non-Fatal | Substantial | Helicopter |  | BELL | 206 - L4 | No |  |  |  |  |  |  |  |  |  | 1 |  | MANEUVERING | Foreign |  | 
20150224X05152 | Incident | ENG15RA011 | 02/12/2015 | Remote Location, South Africa | South Africa | -26.480278 | 27.331667 |  | N/A | Incident |  | Helicopter |  | BELL | 206 - L4 | No | 1 | Turbo Shaft | Unknown | NSCH |  |  |  |  |  | 1 |  | CRUISE | Foreign |  | 
20150213X34718 | Accident | CEN15WA143 | 02/12/2015 | Bohusovice nad Ohri, Czech Republic | Czech Republic |  |  |  |  | Fatal(1) | Destroyed | Helicopter | N111ZP | JUDR ZDENEK PRAZDNY | ROTORWAY | Yes |  |  | Non-U.S., Non-Commercial |  |  |  | 1 |  |  |  |  | UNKNOWN | Foreign |  | 
20150212X15038 | Incident | CEN15WA142 | 02/07/2015 | Bern, Switzerland | Switzerland |  |  |  |  | Incident |  | Helicopter |  | ROBINSON | R66 | No |  |  |  |  |  |  |  |  |  |  |  |  | Foreign |  | 
20150305X10103 | Accident | CEN15WA162 | 02/06/2015 | Oresten, Sweden | Sweden | 57.445277 | 12.648889 | ESGM | Oresten | Non-Fatal | Substantial | Helicopter | N90584 | HUGHES | 269A | No | 1 | Reciprocating | Non-U.S., Non-Commercial |  | Personal |  |  |  |  | 1 |  | MANEUVERING | Foreign |  | 
20150202X83148 | Accident | WPR15LA096 | 02/01/2015 | Calexico, CA | United States | 32.676389 | -115.418611 | CXL | CALEXICO INTL | Non-Fatal | Substantial | Helicopter | N510KJ | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | MANEUVERING | Factual <br />07/27/2017<br/>Final <br />09/06/2017 | 09/06/2017 | 
20150211X84924 | Accident | ERA15CA127 | 02/01/2015 | Carthage, NY | United States | 43.990000 | -75.629445 |  | N/A | Non-Fatal | Substantial | Helicopter | N20059 | SCHWEIZER | 269C 1 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />07/16/2015<br/>Final <br />07/29/2015 | 07/29/2015 | 
20150201X23855 | Accident | CEN15LA132 | 01/31/2015 | Seadrift, TX | United States | 28.521667 | -96.798333 |  | N/A | Non-Fatal | Substantial | Helicopter | N162RB | BUTLER RAYMOND | ROTORWAY EXEC 162F | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Factual <br />04/23/2015<br/>Final <br />07/13/2015 | 07/13/2015 | 
20150130X12418 | Accident | CEN15LA131 | 01/29/2015 | North Little Rock, AR | United States | 34.834722 | -92.258611 | ORK | NORTH LITTLE ROCK MUNI | Non-Fatal | Substantial | Helicopter | N43762 | BELL-WATSON | 47 G | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC |  | Factual <br />12/21/2015<br/>Final <br />02/03/2016 | 02/03/2016 | 
20150129X05038 | Accident | ERA15LA115B | 01/28/2015 | West Palm Beach, FL | United States | 26.593055 | -80.085000 | LNA | PALM BEACH COUNTY PARK | Non-Fatal | Substantial | Helicopter | N475AT | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 4 | VMC | APPROACH | Factual <br />09/27/2016<br/>Final <br />11/28/2016 | 11/28/2016 | 
20150130X44408 | Accident | DCA15WA054 | 01/27/2015 | Tena, Ecuador | Ecuador |  |  |  |  | Fatal(3) | Destroyed | Helicopter |  | HAL | DHRUV | No |  |  | Armed Forces |  |  |  | 3 |  |  |  |  | MANEUVERING | Foreign |  | 
20150128X02848 | Accident | CEN15FA126 | 01/26/2015 | Erie, CO | United States | 40.015556 | -105.049444 | EIK | Erie Municipal | Fatal(2) | Destroyed | Helicopter | N86235 | ENSTROM | 280FX | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 2 |  |  |  | VMC |  | Factual <br />07/19/2017<br/>Final <br />07/26/2017 | 07/26/2017 | 
20150224X70026 | Accident | ENG15RA012 | 01/23/2015 | Waikaia, New Zealand | New Zealand |  |  |  |  | Non-Fatal | Substantial | Helicopter |  | ROBINSON | R44 - II | No |  |  |  |  |  |  |  |  |  | 1 |  | CRUISE | Foreign |  | 
20150120X75714 | Accident | ERA15WA105 | 01/20/2015 | Tashanta, Russia | Russia | 49.889444 | 89.583334 |  | N/A | Non-Fatal | Substantial | Helicopter |  | ROBINSON | R66 | No |  |  | Non-U.S., Non-Commercial |  |  |  |  |  |  | 3 |  | MANEUVERING | Foreign |  | 
20150126X41009 | Accident | CEN15WA120 | 01/17/2015 | Santa Catarina Ixtahuacan, Guatemala | Guatemala |  |  |  |  | Non-Fatal | Destroyed | Helicopter |  | BELL | 206 - L1 | No |  | Turbo Shaft | Non-U.S., Commercial |  |  |  |  |  | 4 |  |  | LANDING | Foreign |  | 
20150116X65836 | Accident | CEN15LA104 | 01/16/2015 | The Woodlands, TX | United States | 30.199722 | -95.476389 |  | N/A | Fatal(1) | Substantial | Helicopter | N416JB | BAKER BOBBY J | SAFARI | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | CRUISE | Factual <br />08/23/2017<br/>Final <br />10/02/2017 | 10/02/2017 | 
20150123X32410 | Accident | DCA15WA053 | 01/13/2015 | Guayaquil, Ecuador | Ecuador | -2.225278 | -80.052222 |  |  | Non-Fatal | Substantial | Helicopter |  | HAL | DHRUV | No |  |  | Armed Forces |  |  |  |  |  | 2 |  |  | MANEUVERING | Foreign |  | 
20150116X44922 | Accident | ERA15WA104 | 01/10/2015 | Santa Monica, Brazil | Brazil | -23.171945 | -53.094722 |  | N/A | Fatal(1) | Destroyed | Helicopter |  | ROBINSON | R44 - II | No |  |  | Non-U.S., Non-Commercial |  | Personal |  | 1 | 1 |  |  |  |  | Foreign |  | 
20150110X10017 | Accident | ERA15FA096 | 01/10/2015 | Catano, PR | United States | 18.456667 | -66.098333 | TJIG | Fernando Luis Ribas Dominicci | Fatal(1) | Destroyed | Helicopter | N348VH | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 1 |  |  |  | VMC | APPROACH | Factual <br />01/10/2017<br/>Final <br />01/26/2017 | 01/26/2017 | 
20150103X94415 | Accident | ERA15CA089 | 01/02/2015 | Barranquitas, PR | United States | 18.209722 | -66.293889 | NONE | Ridge Line | Non-Fatal | Substantial | Helicopter | N3183T | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 2 | VMC | LANDING | Factual <br />02/13/2015<br/>Final <br />06/01/2015 | 06/01/2015 | 
20141231X83422 | Accident | WPR15TA071 | 12/31/2014 | Las Vegas, NV | United States | 36.176389 | -115.118889 | KVGT | North Las Vegas | Non-Fatal | Substantial | Helicopter | N530KK | MD HELICOPTER INC | 369FF | No | 1 | Turbo Shaft | Public Aircraft |  | Public Aircraft - Local |  |  | 2 |  |  | VMC |  | Factual <br />08/17/2017<br/>Final <br />10/02/2017 | 10/02/2017 | 
20150101X15630 | Accident | WPR15FA072 | 12/31/2014 | Benson, AZ | United States | 31.956111 | -110.409444 |  | N/A | Fatal(2) | Destroyed | Helicopter | N57AW | BELL | 206 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Positioning |  | 2 |  |  |  | IMC | CRUISE | Factual <br />09/29/2016<br/>Final <br />10/24/2016 | 10/24/2016 | 
20150108X11648 | Incident | WPR15IA080 | 12/29/2014 | Phoenix, AZ | United States | 33.307778 | -111.655556 | IWA | Phoenix-Mesa Gateway | Incident |  | Helicopter | N7041X | ROBINSON HELICOPTER | R22 BETA II | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | APPROACH | Factual <br />10/16/2017<br/>Final <br />10/31/2017 | 10/31/2017 | 
20150105X12648 | Accident | CEN15CA093 | 12/29/2014 | Horseshoe Bay, TX | United States | 30.526389 | -98.359167 | DZB | HORSESHOE BAY RESORT | Non-Fatal | Substantial | Helicopter | N174CD | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Factual <br />01/08/2015<br/>Final <br />01/22/2015 | 01/22/2015 | 
20141229X15321 | Accident | ERA15FA085 | 12/29/2014 | Lake Worth, FL | United States | 26.600000 | -80.086666 | LNA | PALM BEACH COUNTY PARK | Fatal(1) | Substantial | Helicopter | N771MM | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 1 | 1 |  |  | VMC | APPROACH | Factual <br />01/25/2017<br/>Final <br />03/06/2017 | 03/06/2017 | 
20150113X15218 | Accident | ERA15WA098 | 12/27/2014 | Bertioga, Brazil | Brazil | -23.865833 | -46.161389 | SDIX | Iporanga-Guaruja | Fatal(5) | Destroyed | Helicopter |  | AEROSPATIALE | AS350B | No |  |  | Non-U.S., Commercial | NSCH |  |  | 5 |  |  |  | VMC | TAKEOFF | Foreign |  | 
20141222X43102 | Accident | ERA15CA079 | 12/22/2014 | Henniker, NH | United States | 43.180556 | -71.833334 |  | N/A | Non-Fatal | Substantial | Helicopter | N64HF | ROBINSON HELICOPTER CO | R66 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | LANDING | Factual <br />04/01/2015<br/>Final <br />04/07/2015 | 04/07/2015 | 
20141224X24922 | Accident | ERA15CA081 | 12/21/2014 | Miami Gardens, FL | United States | 25.960000 | -80.237222 | 0FD2 | Dolphin Stadium Helipad | Non-Fatal | Substantial | Helicopter | N430WH | BELL | 430 | No | 2 | Turbo Shaft | Part 91: General Aviation |  | Executive/Corporate |  |  |  |  | 7 | VMC | MANEUVERING | Factual <br />07/08/2015<br/>Final <br />07/23/2015 | 07/23/2015 | 
20141217X23603 | Accident | WPR15CA063 | 12/16/2014 | Bicknell, UT | United States | 38.281667 | 111.626945 |  | N/A | Non-Fatal | Substantial | Helicopter | N352SL | EUROCOPTER | AS 350 B2 ECUREUIL | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Other Work Use |  |  |  |  | 4 | VMC | MANEUVERING | Factual <br />02/12/2015<br/>Final <br />06/01/2015 | 06/01/2015 | 
20150120X22925 | Accident | CEN15WA108 | 12/15/2014 | Lake Siutghiol, Romania | Romania | 44.246389 | 28.600000 |  |  | Fatal(4) | Substantial | Helicopter |  | AIRBUS HELICOPTER | EC135T2+ | No |  |  |  |  |  |  | 4 |  |  |  |  | CRUISE | Foreign |  | 
20141222X60930 | Accident | CEN15LA084 | 12/08/2014 | Fort Lupton, CO | United States | 40.119445 | 104.680556 | 18V | Platte Valley | Non-Fatal | Substantial | Helicopter | N409LH | ENSTROM | 280FX | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 1 |  | VMC | LANDING | Factual <br />12/22/2015<br/>Final <br />02/03/2016 | 02/03/2016 | 
20141208X45533 | Accident | CEN15WA070 | 12/04/2014 | Ponte de Sôr, Portugal | Portugal | 39.249444 | -8.085833 |  | Ponte de Sôr Airfield | Fatal(2) | Destroyed | Helicopter |  | SCHWEIZER | 269C - 1 | No |  |  | Non-U.S., Non-Commercial |  | Instructional |  | 2 |  |  |  | UNK |  | Foreign |  | 
20141202X73240 | Accident | WPR15FA051 | 12/02/2014 | Bountiful, UT | United States | 40.857778 | -111.923889 | BTF | SKYPARK | Fatal(2) | Substantial | Helicopter | N3234U | ROBINSON HELICOPTER COMPANY | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC | MANEUVERING | Factual <br />03/27/2017<br/>Final <br />04/04/2017 | 04/04/2017 | 
20141204X91829 | Accident | CEN15LA066 | 11/26/2014 | Highlandville, MO | United States | 36.931945 | 93.280278 |  | N/A | Non-Fatal | Substantial | Helicopter | N902LC | MD HELICOPTER INC | MD 900 | No | 2 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | Air Methods Corporation |  |  | 1 | 2 | VMC | APPROACH | Factual <br />04/23/2015<br/>Final <br />06/09/2015 | 06/09/2015 | 
20141128X82658 | Accident | ERA15CA059 | 11/24/2014 | Leesburg, VA | United States | 39.078056 | -77.557500 | JYO | LEESBURG EXECUTIVE | Non-Fatal | Substantial | Helicopter | N6057 | HILLER | OH 23B | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />02/24/2015<br/>Final <br />03/10/2015 | 03/10/2015 | 
20141119X50954 | Accident | ERA15CA055 | 11/18/2014 | Decatur, AL | United States | 34.714444 | -87.156111 |  | N/A | Non-Fatal | Substantial | Helicopter | N8371F | MCDONNELL DOUGLAS HELICOPTER | MD500 | No | 1 | Turbo Shaft | Part 133: Rotorcraft Ext. Load |  | External Load |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />06/09/2015<br/>Final <br />06/09/2015 | 06/09/2015 | 
20141117X15544 | Accident | WPR15CA043 | 11/15/2014 | Prescott, AZ | United States | 34.538333 | -112.468334 |  | N/A | Non-Fatal | Substantial | Helicopter | N32VH | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  | 2 |  | VMC |  | Factual <br />05/14/2015<br/>Final <br />06/01/2015 | 06/01/2015 | 
20141113X54904 | Accident | WPR15CA040 | 11/13/2014 | Panguitch, UT | United States | 37.845277 | -112.391944 | U55 | PANGUITCH MUNI | Non-Fatal | Substantial | Helicopter | N425U | AEROSPATIALE | AS350BA | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Instructional |  |  |  | 2 |  | VMC | APPROACH | Factual <br />02/18/2015<br/>Final <br />03/10/2015 | 03/10/2015 | 
20141116X75006 | Incident | CEN15IA046 | 11/11/2014 | Viosca Knoll 989, GM | United States | 28.973056 | -88.626111 |  | N/A | Incident |  | Helicopter | N373RL | BELL | 407 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | ROTORCRAFT LEASING CO LLC |  |  |  | 4 | VMC | TAKEOFF | Factual <br />10/21/2015<br/>Final <br />11/30/2015 | 11/30/2015 | 
20141110X93949 | Accident | CEN15LA042 | 11/08/2014 | Angleton, TX | United States | 29.165000 | -95.401111 | 7R9 | Bailes Airport | Non-Fatal | Substantial | Helicopter | N922RM | MOSIER ROBERT S | MOSQUITO XET | Yes | 1 | Turbo Jet | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC |  | Factual <br />04/22/2015<br/>Final <br />06/09/2015 | 06/09/2015 | 
20141103X22603 | Accident | ERA15WA040 | 11/01/2014 | Boca Chica, Dominican Republic | Dominican Republic |  |  |  | N/A | Fatal(1) | Substantial | Helicopter |  | BELL | 206B-3 | No |  | Turbo Shaft | Non-U.S., Non-Commercial |  | Unknown |  | 1 | 1 |  | 1 |  |  | Foreign |  | 
20141105X83801 | Accident | CEN15CA039 | 10/29/2014 | Baton Rouge, LA | United States | 30.532778 | -91.150000 |  | N/A | Non-Fatal | Substantial | Helicopter | N67GA | ROBINSON HELICOPTER CO | R66 | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | CRUISE | Factual <br />05/06/2015<br/>Final <br />05/13/2015 | 05/13/2015 | 
20141028X14929 | Accident | WPR15TA027 | 10/27/2014 | Bisbee, AZ | United States | 31.398333 | -109.801667 |  | N/A | Non-Fatal | Substantial | Helicopter | N5204X | EUROCOPTER | AS 350 | No | 1 | Turbo Shaft | Public Aircraft |  | Public Aircraft - Federal |  |  | 1 |  |  | VMC | MANEUVERING | Factual <br />03/09/2017<br/>Final <br />05/01/2017 | 05/01/2017 | 
20141128X93344 | Accident | ERA15LA060 | 10/25/2014 | West Palm Beach, FL | United States | 26.646666 | -80.295000 | FD38 | Wellington Aero Club | Non-Fatal | Substantial | Helicopter | N418SV | BELL | 206B | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  |  | 5 | VMC | LANDING | Factual <br />08/25/2015<br/>Final <br />09/24/2015 | 09/24/2015 | 
20141024X40111 | Accident | CEN15CA025 | 10/24/2014 | Harper, TX | United States | 30.306667 | -99.247500 |  | N/A | Non-Fatal | Substantial | Helicopter | N7192K | ROBINSON HELICOPTER | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />07/06/2015<br/>Final <br />07/23/2015 | 07/23/2015 | 
20141023X01333 | Accident | ERA15FA025B | 10/23/2014 | Frederick, MD | United States | 39.410833 | -77.382500 | FDK | Frederick Municipal | Fatal(3) | Destroyed | Helicopter | N7518Q | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 3 |  | 1 | 1 | VMC | APPROACH | Factual <br />04/22/2016<br/>Final <br />06/02/2016 | 06/02/2016 | 
20141030X45050 | Accident | CEN15TA035 | 10/23/2014 | San Isidro, TX | United States | 26.595833 | 98.625556 |  | N/A | Non-Fatal | Substantial | Helicopter | N72595 | BELL | UH1H | No | 1 | Turbo Shaft | Public Use |  | Other Work Use |  |  |  |  | 3 | VMC | CRUISE | Factual <br />11/28/2014<br/>Final <br />02/23/2015 | 02/23/2015 | 
20141020X13547 | Accident | CEN15TA017 | 10/17/2014 | Lordsburg, NM | United States | 31.569723 | -108.873889 |  | N/A | Non-Fatal | Substantial | Helicopter | N852BP | AIRBUS HELICOPTERS | AS 350 B3 | No |  | Turbo Shaft | Public Use |  | Public Aircraft - Federal |  |  |  | 1 |  | VMC | TAKEOFF | Factual <br />04/22/2015<br/>Final <br />06/01/2015 | 06/01/2015 | 
20141016X24919 | Accident | ERA15CA018 | 10/16/2014 | Prattville, AL | United States | 32.438611 | -86.512778 | 1A9 | Prattville | Non-Fatal | Substantial | Helicopter | N59541 | BELL | 206B | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Aerial Observation |  |  |  |  | 2 | VMC | MANEUVERING | Factual <br />12/08/2014<br/>Final <br />10/08/2015 | 10/08/2015 | 
20141024X24524 | Accident | WPR15WA019 | 10/07/2014 | Mount Arthur, New Zealand, New Zealand | New Zealand | -41.205000 | 172.735833 |  |  | Fatal(1) | Destroyed | Helicopter |  | ROBINSON | R44 II | No | 1 | Reciprocating |  |  |  |  | 1 |  |  |  |  |  | Foreign |  | 
20141004X60516 | Accident | CEN15FA003 | 10/04/2014 | Wichita Falls, TX | United States | 33.540000 | -98.300000 |  | N/A | Fatal(3) | Destroyed | Helicopter | N335AE | BELL HELICOPTER TEXTRON | 206L 1 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | AIR EVAC EMS INC | 3 | 1 |  |  | VMC | GO-AROUND | Factual <br />07/01/2015<br/>Final <br />07/23/2015 | 07/23/2015 | 
20141008X13916 | Accident | CEN15CA007 | 10/03/2014 | Atlanta, AR | United States | 33.118334 | -93.011667 |  | N/A | Non-Fatal | Substantial | Helicopter | N4426M | BELL | 206B | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Positioning |  |  | 1 |  |  | VMC | TAKEOFF | Factual <br />12/12/2014<br/>Final <br />01/12/2015 | 01/12/2015 | 
20141002X70257 | Accident | CEN15LA002 | 10/02/2014 | Woodsboro, TX | United States | 28.236666 | -97.319167 |  | N/A | Non-Fatal | Substantial | Helicopter | N49746 | BELL | 206B | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Aerial Observation |  |  | 3 |  |  | VMC | MANEUVERING | Factual <br />07/20/2016<br/>Final <br />09/12/2016 | 09/12/2016 | 
20140928X75554 | Accident | ERA14FA461 | 09/28/2014 | Gallatin, TN | United States | 36.425000 | -86.484166 |  | N/A | Fatal(1) | Substantial | Helicopter | N7062U | EAGLE R&D INC | HELICYCLE | Yes | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | MANEUVERING | Factual <br />03/16/2017<br/>Final <br />03/29/2017 | 03/29/2017 | 
20140926X44653 | Accident | CEN14LA520 | 09/26/2014 | Albuquerque, NM | United States | 35.230556 | -106.875278 |  | N/A | Non-Fatal | Substantial | Helicopter | N7026J | ROBINSON HELICOPTER | R22 BETA | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 | 1 | VMC | APPROACH | Factual <br />02/18/2016<br/>Final <br />05/11/2016 | 05/11/2016 | 
20140929X52153 | Accident | CEN14CA525 | 09/25/2014 | Nashoba, OK | United States | 34.531945 | -95.163889 |  | N/A | Non-Fatal | Substantial | Helicopter | N152CA | BELL | 206B | No | 1 | Turbo Shaft | Part 137: Agricultural |  | Aerial Application |  |  |  |  | 1 | VMC | TAKEOFF | Factual <br />12/24/2014<br/>Final <br />01/12/2015 | 01/12/2015 | 
20140925X93010 | Accident | ERA14WA457 | 09/23/2014 | Bolivar, Venezuela | Venezuela | 7.506944 | -61.321111 |  | N/A | Fatal(3) | Substantial | Helicopter |  | BELL | 206B | No | 1 | Turbo Shaft | Non-U.S., Non-Commercial |  | Unknown |  | 3 |  |  |  |  |  | Foreign |  | 
